Hand,Equity2P,Equity3P
RiverID,ERROR,ERROR
2c 2d 2h 3h 4h 6s 8s,0.599500,0.542000
2c 2d 2h 3h 4s 6s 8s,0.611000,0.542333
2c 2d 2h 3s 4s 6s 8s,0.579500,0.477333
2c 2d 2h 3h 4h 6h 9h,0.719500,0.523667
2c 2d 2h 3h 4h 6h 9s,0.573500,0.459667
2c 2d 2h 3h 4h 6s 9s,0.648000,0.535667
2c 2d 2h 3h 4s 6s 9s,0.651000,0.544333
2c 2d 2h 3s 4s 6s 9s,0.578000,0.471667
2c 2d 2h 3h 4h 6h 10h,0.709500,0.532000
2c 2d 2h 3h 4h 6h 10s,0.599500,0.495333
2c 2d 2h 3h 4h 6s 10s,0.643500,0.557667
2c 2d 2h 3h 4s 6s 10s,0.656500,0.547000
2c 2d 2h 3s 4s 6s 10s,0.576000,0.480000
2c 2d 2h 3h 4h 6h Jh,0.700000,0.529000
2c 2d 2h 3h 4h 6h Js,0.591000,0.456000
2c 2d 2h 3h 4h 6s Js,0.663500,0.582667
2c 2d 2h 3h 4s 6s Js,0.647000,0.574000
2c 2d 2h 3s 4s 6s Js,0.587000,0.478667
2c 2d 2h 3h 4h 6h Qh,0.705500,0.540667
2c 2d 2h 3h 4h 6h Qs,0.625000,0.509333
2c 2d 2h 3h 4h 6s Qs,0.643500,0.560000
2c 2d 2h 3h 4s 6s Qs,0.651500,0.534000
2c 2d 2h 3s 4s 6s Qs,0.610000,0.479667
2c 2d 2h 3h 4h 6h Kh,0.711500,0.526333
2c 2d 2h 3h 4h 6h Ks,0.621500,0.508000
2c 2d 2h 3h 4h 6s Ks,0.662500,0.569333
2c 2d 2h 3h 4s 6s Ks,0.677000,0.556333
2c 2d 2h 3s 4s 6s Ks,0.606500,0.480333
2c 2d 2h 3h 4h 6h Ah,0.718000,0.563333
2c 2d 2h 3h 4h 6h As,0.607000,0.495333
2c 2d 2h 3h 4h 6s As,0.661500,0.540000
2c 2d 2h 3h 4s 6s As,0.659000,0.537333
2c 2d 2h 3s 4s 6s As,0.615500,0.468000
2c 2d 2h 3h 4h 7h 7s,0.917500,0.876667
2c 2d 2h 3h 4h 7h 8h,0.708500,0.542667
2c 2d 2h 3h 4h 7h 8s,0.624000,0.527667
2c 2d 2h 3h 4h 7s 8s,0.672500,0.625667
2c 2d 2h 3h 4s 7s 8s,0.684500,0.615667
2c 2d 2h 3s 4s 7s 8s,0.617000,0.543667
2c 2d 2h 3h 4h 7h 9h,0.698500,0.527000
2c 2d 2h 3h 4h 7h 9s,0.601000,0.542000
2c 2d 2h 3h 4h 7s 9s,0.698500,0.604333
2c 2d 2h 3h 4s 7s 9s,0.671500,0.610000
2c 2d 2h 3s 4s 7s 9s,0.608500,0.510667
2c 2d 2h 3h 4h 7h 10h,0.722500,0.564000
2c 2d 2h 3h 4h 7h 10s,0.635500,0.542333
2c 2d 2h 3h 4h 7s 10s,0.691000,0.620000
2c 2d 2h 3h 4s 7s 10s,0.680500,0.612667
2c 2d 2h 3s 4s 7s 10s,0.602500,0.521333
2c 2d 2h 3h 4h 7h Jh,0.715000,0.553667
2c 2d 2h 3h 4h 7h Js,0.651000,0.543667
2c 2d 2h 3h 4h 7s Js,0.699500,0.608333
2c 2d 2h 3h 4s 7s Js,0.669500,0.648000
2c 2d 2h 3s 4s 7s Js,0.632000,0.534000
2c 2d 2h 3h 4h 7h Qh,0.722500,0.547667
2c 2d 2h 3h 4h 7h Qs,0.671000,0.553000
2c 2d 2h 3h 4h 7s Qs,0.713000,0.626333
2c 2d 2h 3h 4s 7s Qs,0.701500,0.657333
2c 2d 2h 3s 4s 7s Qs,0.658500,0.563000
2c 2d 2h 3h 4h 7h Kh,0.728500,0.549000
2c 2d 2h 3h 4h 7h Ks,0.656000,0.542333
2c 2d 2h 3h 4h 7s Ks,0.716000,0.651667
2c 2d 2h 3h 4s 7s Ks,0.712500,0.634333
2c 2d 2h 3s 4s 7s Ks,0.672000,0.557000
2c 2d 2h 3h 4h 7h Ah,0.703500,0.584000
2c 2d 2h 3h 4h 7h As,0.657000,0.488333
2c 2d 2h 3h 4h 7s As,0.687500,0.582333
2c 2d 2h 3h 4s 7s As,0.702000,0.590667
2c 2d 2h 3s 4s 7s As,0.662500,0.543333
2c 2d 2h 3h 4h 8h 8s,0.921000,0.874667
2c 2d 2h 3h 4h 8h 9h,0.705000,0.545667
2c 2d 2h 3h 4h 8h 9s,0.648500,0.558333
2c 2d 2h 3h 4h 8s 9s,0.675500,0.608000
2c 2d 2h 3h 4s 8s 9s,0.701500,0.638000
2c 2d 2h 3s 4s 8s 9s,0.635000,0.542000
2c 2d 2h 3h 4h 8h 10h,0.707500,0.535000
2c 2d 2h 3h 4h 8h 10s,0.667000,0.542000
2c 2d 2h 3h 4h 8s 10s,0.705500,0.649000
2c 2d 2h 3h 4s 8s 10s,0.714000,0.637333
2c 2d 2h 3s 4s 8s 10s,0.685500,0.539667
2c 2d 2h 3h 4h 8h Jh,0.738000,0.568000
2c 2d 2h 3h 4h 8h Js,0.636500,0.545000
2c 2d 2h 3h 4h 8s Js,0.716000,0.649000
2c 2d 2h 3h 4s 8s Js,0.713000,0.611667
2c 2d 2h 3s 4s 8s Js,0.667000,0.549000
2c 2d 2h 3h 4h 8h Qh,0.721000,0.557333
2c 2d 2h 3h 4h 8h Qs,0.664500,0.573000
2c 2d 2h 3h 4h 8s Qs,0.724000,0.636333
2c 2d 2h 3h 4s 8s Qs,0.717500,0.631333
2c 2d 2h 3s 4s 8s Qs,0.689500,0.534000
2c 2d 2h 3h 4h 8h Kh,0.743000,0.553000
2c 2d 2h 3h 4h 8h Ks,0.693000,0.543000
2c 2d 2h 3h 4h 8s Ks,0.708500,0.643333
2c 2d 2h 3h 4s 8s Ks,0.729500,0.644000
2c 2d 2h 3s 4s 8s Ks,0.664500,0.575000
2c 2d 2h 3h 4h 8h Ah,0.764000,0.595000
2c 2d 2h 3h 4h 8h As,0.646000,0.515667
2c 2d 2h 3h 4h 8s As,0.712000,0.579333
2c 2d 2h 3h 4s 8s As,0.708500,0.584667
2c 2d 2h 3s 4s 8s As,0.649500,0.501333
2c 2d 2h 3h 4h 9h 9s,0.925500,0.871000
2c 2d 2h 3h 4h 9h 10h,0.716500,0.532000
2c 2d 2h 3h 4h 9h 10s,0.674000,0.562667
2c 2d 2h 3h 4h 9s 10s,0.698000,0.616000
2c 2d 2h 3h 4s 9s 10s,0.725000,0.641000
2c 2d 2h 3s 4s 9s 10s,0.672500,0.567333
2c 2d 2h 3h 4h 9h Jh,0.717500,0.544333
2c 2d 2h 3h 4h 9h Js,0.690000,0.562000
2c 2d 2h 3h 4h 9s Js,0.721000,0.634333
2c 2d 2h 3h 4s 9s Js,0.742500,0.648667
2c 2d 2h 3s 4s 9s Js,0.691500,0.528000
2c 2d 2h 3h 4h 9h Qh,0.731500,0.552667
2c 2d 2h 3h 4h 9h Qs,0.709500,0.555333
2c 2d 2h 3h 4h 9s Qs,0.742500,0.643000
2c 2d 2h 3h 4s 9s Qs,0.707000,0.658333
